[3154] Water Heater | pub=State of Utah | cols: the_geom, OBJECTID, Location, AssetID
[3156] Deed points~.25K | pub=State of Utah | cols: MAP#, ANGLE, CREATED_USER, Parcel Identification Number, Book & Page, SCALE, CREATED_DATE, the_geom, GLOBALID, LAST_EDITED_USER
[3157] NAIP2006_County_data | pub=State of Utah | cols: SHAPE_Length, PATH, TILE, DATE, the_geom, WORLDFILE, OBJECTID, SIZE, EXT, SHAPE_Area
[3160] Parcel Lines | pub=State of Utah | cols: Parcel ID Number, LAST_EDITED_USER, COGO Tangent, LAST_EDITED_DATE, COGO Radius, COGO Side, DUPS, HAS_SELECTED_TAG, TRAVID, COGO Distance
[3161] FACILITYUST_data | pub=State of Utah | cols: CONPHONE, ZIP4, DERRID, PROJDESC, CIMID, EASTING, SITEDESC, STATE, the_geom, SITECITY
[3164] Judicial Performance Outcome Measures | pub=State of Utah | cols: Year, Parolees on 72-Hour Holds, Constituent Affairs Responses, Judicial Performance Evaluation Commission Combined Measure
[3165] parcel_polygon | pub=State of Utah | cols: LAST_EDITED_USER, SHAPE_Area, LAST_EDITED_DATE, CREATED_DATE, Book & Page, SHAPE_Length, the_geom, GLOBALID, Parcel ID Number, TRAVNUM
[3167] Parcels | pub=State of Utah | cols: CREATED_DATE, Assessment Year, Greenbelt Qualified, Taxes Owed % Change, SHAPE_Area, Map Filing Number, Unit Name or Number, LOT, GLOBALID, Last Update Date
[3168] Concrete Locations | pub=State of Utah | cols: Short List 6in Sidewalk (SF), XDAtype, Bill_DAFixed, Short List Name, LastInspFY, LastInspection, Frogs, WWCond, Waterways, Sidewalk
[3169] State Auditors Office Performance Management Outcome Measures Full | pub=State of Utah | cols: pm_entryvalue, Actual Entry Count, pm_id, Unnamed Column, pm_category, Count Impact Areas, organizationalunitid, pm_description, pm_status_id, pm_entryFY
[3171] Site Plan Review | pub=State of Utah | cols: Shape.STLength(), OBJECTID, FLAG_IND, Shape.STArea(), Status, the_geom, PROJECT_NAME, SPR_FILE, DateApproved, SITE_ADDRESS
[3173] Master_Address_Points | pub=State of Utah | cols: SFX, OBJECTID, Alias_Suffix_Dir, STREET_DIR, the_geom, Municipality, STREET, Year_Built, HSNO, Comment
