[578] Number of people with dementia involved in research routinely monitored | pub=WHO | desc: Number of people with dementia involved in research routinely monitored | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[579] Prevalence of tuberculosis (per 100 000 population) | pub=WHO | desc: Prevalence of tuberculosis (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[580] Identification of other research plans in which dementia is integrated (NCD) | pub=WHO | desc: Identification of other research plans in which dementia is integrated (NCD) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[581] Identification of other plans in which dementia is integrated (Disability) | pub=WHO | desc: Identification of other plans in which dementia is integrated (Disability) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[582] Inclusion of human rights as a guiding principle of the dementia plan | pub=WHO | desc: Inclusion of human rights as a guiding principle of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[583] Total expenditure on dementia basic research (local currency, self-report) | pub=WHO | desc: Total expenditure on dementia basic research (local currency, self-report) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[584] Total expenditure on dementia clinical/translational research (local currency, self-report) | pub=WHO | desc: Total expenditure on dementia clinical/translational research (local currency, self-report) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[585] Inclusion of dementia in a branch of government [health, ageing, social services, mental health, non | pub=WHO | desc: Inclusion of dementia in a branch of government [health, ageing, social services, mental health, noncommunicable disease] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[586] Inclusion of equity as a guiding principle of the dementia plan | pub=WHO | desc: Inclusion of equity as a guiding principle of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[587] Inclusion of empowerment as a guiding principle of the dementia plan | pub=WHO | desc: Inclusion of empowerment as a guiding principle of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[588] Inclusion of dementia risk reduction as a specific action of the dementia plan | pub=WHO | desc: Inclusion of dementia risk reduction as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[589] Inclusion of dementia workforce training as a specific action of the dementia plan | pub=WHO | desc: Inclusion of dementia workforce training as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[590] Inclusion of support for dementia carers and families as a specific action of the dementia plan | pub=WHO | desc: Inclusion of support for dementia carers and families as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[591] Implementation level [national/subnational] of dementia research plan/programme | pub=WHO | desc: Implementation level [national/subnational] of dementia research plan/programme | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[592] Identification of other research plans in which dementia is integrated (Mental health) | pub=WHO | desc: Identification of other research plans in which dementia is integrated (Mental health) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[593] Identification of other research plans in which dementia is integrated (Ageing) | pub=WHO | desc: Identification of other research plans in which dementia is integrated (Ageing) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[594] Availability of funding for dementia-specific research plan/programme | pub=WHO | desc: Availability of funding for dementia-specific research plan/programme | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[595] Subnational bans on tobacco advertising, promotion and sponsorship | pub=WHO | desc: Subnational bans on tobacco advertising, promotion and sponsorship | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[596] Ban on display of tobacco products at points of sale | pub=WHO | desc: Ban on display of tobacco products at points of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[597] Law requires fines for violations of direct advertising bans | pub=WHO | desc: Law requires fines for violations of direct advertising bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[598] Ban on advertising: Billboards and outdoor advertising | pub=WHO | desc: Ban on advertising: Billboards and outdoor advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[599] Identification of other plans in which dementia is integrated (Other) | pub=WHO | desc: Identification of other plans in which dementia is integrated (Other) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
