[1964] Total population pushed below the $2.15 a day poverty line by household health expenditures (%, regi | pub=WHO | desc: Total population pushed below the $2.15 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1965] Oral health interventions as part of health benefit packages: Rehabilitatative oral health care | pub=WHO | desc: Oral health interventions as part of health benefit packages: Rehabilitatative oral health care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1966] Compliance with smoke-free education facilities except universities law (score) | pub=WHO | desc: Compliance with smoke-free education facilities except universities law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1967] Total productivity losses due to 5 oral diseases in million (US$) | pub=WHO | desc: Total productivity losses due to 5 oral diseases in million (US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1968] Total population pushed further below the $1.90 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $1.90 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1969] Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%) | pub=WHO | desc: Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1970] Substance use disorders service coverage, health workforce access to professional development and ed | pub=WHO | desc: Substance use disorders service coverage, health workforce access to professional development and education | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1971] Ambient air pollution attributable YLL in children under 15 years | pub=WHO | desc: Ambient air pollution attributable YLL in children under 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1972] Population pushed below a relative poverty line by household health expenditures - 60% of median dai | pub=WHO | desc: Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1973] Foodborne illnesses per 100 000, aged less than 5 years | pub=WHO | desc: Foodborne illnesses per 100 000, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1974] Total population pushed further below the $3.20 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $3.20 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1975] Percentage of women consuming at least 90 iron-containing supplements during pregnancy | pub=WHO | desc: Percentage of women consuming at least 90 iron-containing supplements during pregnancy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1976] Indicator 16.2.1: Proportion of children aged 1-17 years who experienced any physical punishment and | pub=WHO | desc: Indicator 16.2.1: Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1977] Substance use disorders service coverage, health information system progress | pub=WHO | desc: Substance use disorders service coverage, health information system progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1978] Substance use disorders service coverage, health workforce progress | pub=WHO | desc: Substance use disorders service coverage, health workforce progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1979] General availability of pathology services (laboratories) in the public sector | pub=WHO | desc: General availability of pathology services (laboratories) in the public sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1980] Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.65 | pub=WHO | desc: Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.65 a-day poverty line (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
