[9559] Benefits incidence in 2nd quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the second quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9560] Benefits incidence in 2nd quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of benefits going to the second quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9561] Benefits incidence in 3rd quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the third quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9562] Benefits incidence in 3rd quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of benefits going to the third quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9563] Benefits incidence in 3rd quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the third quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9564] Benefits incidence in 3rd quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of benefits going to the third quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9565] Benefits incidence in 4th quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the fourth quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9566] Benefits incidence in 4th quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of benefits going to the fourth quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9567] Benefits incidence in 4th quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the fourth quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9568] Benefits incidence in 4th quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of benefits going to the fourth quintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9569] Benefits incidence in 5th quintile (richest) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of benefits going to the richestquintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9570] Benefits incidence in 5th quintile (richest) (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of benefits going to the richestquintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9571] Benefits incidence in 5th quintile (richest) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of benefits going to the richestquintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9572] Benefits incidence in 5th quintile (richest) (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of benefits going to the richestquintile  relative to the total benefits going to the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9573] Beneficiary incidence in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9574] Beneficiary incidence in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9575] Beneficiary incidence in 1st quintile (poorest) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9576] Beneficiary incidence in 1st quintile (poorest) (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9577] Beneficiary incidence in 1st quintile (poorest) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9578] Beneficiary incidence in 1st quintile (poorest) (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9579] Beneficiary incidence in 2nd quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9580] Beneficiary incidence in 2nd quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9581] Beneficiary incidence in 2nd quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9582] Beneficiary incidence in 2nd quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9583] Beneficiary incidence in 3rd quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9584] Beneficiary incidence in 3rd quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9585] Beneficiary incidence in 3rd quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9586] Beneficiary incidence in 3rd quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9587] Beneficiary incidence in 4th quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9588] Beneficiary incidence in 4th quintile (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9589] Beneficiary incidence in 4th quintile (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9590] Beneficiary incidence in 4th quintile (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9591] Beneficiary incidence in 5th quintile (richest) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9592] Beneficiary incidence in 5th quintile (richest) (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9593] Beneficiary incidence in 5th quintile (richest) (%) - Domestic Private Transfers | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9594] Beneficiary incidence in 5th quintile (richest) (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population | cols: country, date, value, indicator | tags: Social Protection & Labor
[9595] Benefit-cost ratio -  Domestic Private Transfers -extreme poor (<$2.15 a day) | pub=World Bank | desc: Poverty gap reduction obtained for each $1 spent in Domestic Private Transfers programs (%) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9596] Benefit-cost ratio -  Domestic Private Transfers -1st quintile (poorest) -rural | pub=World Bank | desc: Poverty gap reduction obtained for each $1 spent in Domestic Private Transfers programs (%) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9597] Benefit-cost ratio -  Domestic Private Transfers -1st quintile (poorest) | pub=World Bank | desc: Poverty gap reduction obtained for each $1 spent in Domestic Private Transfers programs (%) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9598] Benefit-cost ratio -  Domestic Private Transfers - 1st quintile (poorest) -urban | pub=World Bank | desc: Poverty gap reduction obtained for each $1 spent in Domestic Private Transfers programs (%) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9599] Coverage in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Percentage of population participating in Domestic Private Transfers programs (includes direct and indirect beneficiaries) | cols: country, date, value, indicator | tags: Social Protection & Labor
