[254] Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) s | pub=United Nations | desc: Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.1
[255] Proportion of population that feel safe walking alone around the area they live after dark | pub=United Nations | desc: Proportion of population that feel safe walking alone around the area they live after dark | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.1
[256] Conflict-related deaths per 100,000 population, by sex, age and cause | pub=United Nations | desc: Conflict-related deaths per 100,000 population, by sex, age and cause | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.1
[257] Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological  | pub=United Nations | desc: Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.2
[258] Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation | pub=United Nations | desc: Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.2
[259] Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18 | pub=United Nations | desc: Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18 | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.2
[260] Unsentenced detainees as a proportion of overall prison population | pub=United Nations | desc: Unsentenced detainees as a proportion of overall prison population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.3
[261] Proportion of victims of (a) physical, (b) psychological and/or (c) sexual violence in the previous  | pub=United Nations | desc: Proportion of victims of (a) physical, (b) psychological and/or (c) sexual violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized c | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.3
[262] Proportion of the population who have experienced a dispute in the past two years and who accessed a | pub=United Nations | desc: Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.3
[263] Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or e | pub=United Nations | desc: Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.4
