[872] Compliance of ban on smoking in GOVERNMENT FACILITIES | pub=WHO | desc: Compliance of ban on smoking in GOVERNMENT FACILITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[873] Antenatal care attendees who were positive for syphilis (%), reported | pub=WHO | desc: Antenatal care attendees who were positive for syphilis (%), reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[874] Men who have sex with men (MSM) with active syphilis (%) | pub=WHO | desc: Men who have sex with men (MSM) with active syphilis (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[875] Postnatal care visit within two days of birth (in the five years preceding the survey) (%) | pub=WHO | desc: Postnatal care visit within two days of birth (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[876] Postnatal care visit within two days of birth - born outside a health facility (in the three years p | pub=WHO | desc: Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[877] Most sold brand of cigarettes - taxes as a % of price - ad valorem excise | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - ad valorem excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[878] Domestic general government health expenditure (GGHE-D) per capita in PPP int$ | pub=WHO | desc: Domestic general government health expenditure (GGHE-D) per capita in PPP int$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[879] Domestic private health expenditure (PVT-D) per capita in PPP int$ | pub=WHO | desc: Domestic private health expenditure (PVT-D) per capita in PPP int$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[880] Strategy implementation funding available for eHealth | pub=WHO | desc: Strategy implementation funding available for eHealth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[881] Providing oversight and enforcement of data ownership | pub=WHO | desc: Providing oversight and enforcement of data ownership | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[882] Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported | pub=WHO | desc: Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[883] Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP | pub=WHO | desc: Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[884] Out-of-pocket expenditure (OOP) per capita in PPP int$ | pub=WHO | desc: Out-of-pocket expenditure (OOP) per capita in PPP int$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
