[2171] Substance use disorders service coverage, pharmacological treatment services | pub=WHO | desc: Substance use disorders service coverage, pharmacological treatment services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2172] Population pushed further below the $2.15 a day poverty line by household health expenditures (%, na | pub=WHO | desc: Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2173] Total number of staff in country offices, by region | pub=WHO | desc: Total number of staff in country offices, by region | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2174] Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | pub=WHO | desc: Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2175] Oral health: Noma recognized as a national public health problem | pub=WHO | desc: Oral health: Noma recognized as a national public health problem | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2176] Tobacco tax administration: Tax stamps, fiscal marks, banderole or other types of marking are applie | pub=WHO | desc: Tobacco tax administration: Tax stamps, fiscal marks, banderole or other types of marking are applied on cigarettes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2177] Population with primary reliance on clean fuels and technologies for cooking (in millions) | pub=WHO | desc: Population with primary reliance on clean fuels and technologies for cooking (in millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2178] General availability of dilated fundus examination at the primary health care level | pub=WHO | desc: General availability of dilated fundus examination at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2179] Prevalence of current tobacco smoking among adolescents (%) | pub=WHO | desc: Prevalence of current tobacco smoking among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2180] Substance use disorders service coverage, medicine included in drug formulary | pub=WHO | desc: Substance use disorders service coverage, medicine included in drug formulary | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2181] Tobacco Monitor: population-based national surveys, tobacco use and smoking, prevalence | pub=WHO | desc: Tobacco Monitor: population-based national surveys, tobacco use and smoking, prevalence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2182] Tobacco tax administration: Tax stamps, fiscal marks, banderole or other types of marking are applie | pub=WHO | desc: Tobacco tax administration: Tax stamps, fiscal marks, banderole or other types of marking are applied on other tobacco products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2183] Deaths caused by chronic hepatitis C (HCV) infection (number) | pub=WHO | desc: Deaths caused by chronic hepatitis C (HCV) infection (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2184] Estimated malaria mortality rate (per 100 000 population) | pub=WHO | desc: Estimated malaria mortality rate (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2185] Prevalence of current tobacco use among adolescents (%) | pub=WHO | desc: Prevalence of current tobacco use among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2186] Tobacco tax administration: Marking/unique identifier contains data for track and tracing purposes | pub=WHO | desc: Tobacco tax administration: Marking/unique identifier contains data for track and tracing purposes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2187] Wasting  among children under 5 years of age (weight-for-height <-2 SD), number (in thousands), surv | pub=WHO | desc: Wasting  among children under 5 years of age (weight-for-height <-2 SD), number (in thousands), survey-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2188] People who inject drugs: Population size estimates (number) | pub=WHO | desc: People who inject drugs: Population size estimates (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2189] Collaboration with Intergovernmental Organizations by groups (%) | pub=WHO | desc: Collaboration with Intergovernmental Organizations by groups (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2190] Type of staff in country office, according to WCO typology (%) | pub=WHO | desc: Type of staff in country office, according to WCO typology (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2191] Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population | pub=WHO | desc: Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2192] Foodborne years of life lost per case, aged 5 years and above | pub=WHO | desc: Foodborne years of life lost per case, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2193] Most recent school-based survey among adolescents was recent (in the past 5 years) | pub=WHO | desc: Most recent school-based survey among adolescents was recent (in the past 5 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2194] Survey previous to the most recent survey among adults was within the 5 years prior | pub=WHO | desc: Survey previous to the most recent survey among adults was within the 5 years prior | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2195] Number of isolates tested for extended-spectrum cephalosporins | pub=WHO | desc: Number of isolates tested for extended-spectrum cephalosporins | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2196] Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB  | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q2 income or expenditure quantile. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2197] Has conducted a recent, national adult risk factor survey covering salt/sodium intake | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering salt/sodium intake | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2198] Chronic hepatitis C (HCV) infected persons diagnosed (number) | pub=WHO | desc: Chronic hepatitis C (HCV) infected persons diagnosed (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2199] Total number of  malaria cases (presumed + confirmed cases) | pub=WHO | desc: Total number of  malaria cases (presumed + confirmed cases) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
